E,F,G,H
101,79,2091,1.2439024390243902
129,-33,104,0.6153846153846154
65,1,154,1.2727272727272727
86,16,3969,1.653061224489796
41,23,1550,2.48
148,2,3840,1.6666666666666667
54,-10,3828,0.8787878787878788
66,-32,7656,0.9886363636363636
116,-66,231,0.5238095238095238
138,36,730,0.136986301369863
106,40,204,0.17647058823529413
158,16,1800,0.3472222222222222
40,10,3870,2.0930232558139537
55,41,2576,3.2857142857142856
140,-50,3700,0.6756756756756757
80,30,1248,1.8461538461538463
62,-22,8272,0.9361702127659575
100,-34,156,1.0833333333333333
154,-36,112,0.4375
177,7,2752,0.37209302325581395
56,-26,1998,0.36486486486486486
138,-26,780,0.8666666666666667
121,57,1320,2.2916666666666665
133,59,8712,0.8888888888888888
113,-53,4608,0.8888888888888888
163,-25,392,0.04081632653061224
139,29,1800,1.3888888888888888
104,-76,1280,0.3125
122,-30,1702,0.8043478260869565
69,-57,5544,1.7678571428571428
143,-23,3312,0.6956521739130435
136,16,64,0.25
20,8,920,1.7391304347826086
84,40,4757,1.0597014925373134
113,31,2231,0.23711340206185566
144,-26,2970,3.3
113,-49,2432,2.375
104,52,5368,1.4426229508196722
39,9,1443,0.9487179487179487
46,36,874,1.6521739130434783
124,-20,6864,1.1282051282051282
34,-18,6674,0.7553191489361702
61,19,6402,1.4696969696969697
98,34,4536,0.691358024691358
53,-39,1738,3.590909090909091
130,16,2331,0.5873015873015873
143,47,3819,1.1754385964912282
72,-70,1887,0.7254901960784313
103,-23,2146,0.3918918918918919
82,-14,2600,1.04
123,23,616,3.142857142857143
97,41,2175,2.586206896551724
81,-77,3082,1.4565217391304348
59,-7,2548,0.2653061224489796
10,-8,54,0.07407407407407407
71,3,784,12.25
106,-36,663,2.2941176470588234
82,-40,4968,0.9583333333333334
96,16,2624,2.5625
24,-6,320,12.8
92,-36,6138,0.7096774193548387
94,50,2376,1.2272727272727273
106,6,1820,0.21978021978021978
90,66,40,40.0
120,66,851,0.6216216216216216
72,50,2368,0.578125
127,-37,3069,0.31313131313131315
117,-21,2158,3.1923076923076925
104,74,2343,2.1515151515151514
134,16,8148,0.865979381443299
111,57,175,7.0
114,-18,8316,0.8484848484848485
71,-37,4756,1.4137931034482758
15,-11,5256,0.9863013698630136
150,28,5168,1.1176470588235294
118,-46,18,2.0
80,56,3910,1.8478260869565217
41,37,3666,0.6025641025641025
83,15,238,4.857142857142857
77,3,2460,2.7333333333333334
139,-47,7743,1.0229885057471264
119,-67,696,0.20689655172413793
95,69,363,0.3333333333333333
72,42,28,0.5714285714285714
124,-60,5369,0.6483516483516484
29,-5,837,0.8709677419354839
102,-38,3854,0.43617021276595747
118,-80,7912,1.069767441860465
175,23,1800,3.125
155,33,897,5.3076923076923075
87,-49,1666,1.4411764705882353
120,-22,780,7.8
98,-34,156,0.057692307692307696
74,-10,3500,0.7142857142857143
137,-3,96,96.0
39,5,1392,5.4375
123,35,1472,5.75
52,32,5307,0.7011494252873564
62,18,625,1.0
103,1,5616,0.9230769230769231
124,-54,2331,0.5873015873015873
97,55,49,1.0
69,23,5934,0.8023255813953488
114,-62,962,1.4230769230769231
50,24,1820,1.4857142857142858
161,35,492,3.4166666666666665
113,7,2754,0.9444444444444444
166,-2,232,14.5
58,-42,720,1.8
106,-2,291,0.030927835051546393
132,58,36,36.0
103,87,558,1.7222222222222223
49,-45,266,5.428571428571429
123,49,7743,0.9775280898876404
57,17,7395,0.9770114942528736
141,47,368,0.6956521739130435
105,43,63,1.2857142857142858
140,34,2716,0.28865979381443296
62,12,2835,0.7142857142857143
113,63,649,5.363636363636363
130,-40,1260,0.2571428571428571
91,-21,4941,1.3278688524590163
103,25,1008,0.5714285714285714
149,-27,4183,0.5280898876404494
122,-20,882,2.7222222222222223
95,11,2232,0.4305555555555556
46,-42,1815,1.6666666666666667
127,-43,2080,0.7692307692307693
61,59,582,16.166666666666668
168,20,1320,0.17045454545454544
94,2,4620,1.5272727272727273
32,-16,256,16.0
53,-51,384,0.09375
99,-49,2268,0.32142857142857145
67,-17,891,11.0
61,-37,588,16.333333333333332
73,-29,1568,6.125
117,-77,8084,1.0930232558139534
33,9,1215,5.4
37,-23,2821,2.935483870967742
55,-51,1368,0.23684210526315788
127,5,832,3.25
61,5,1950,0.32051282051282054
52,0,2920,0.547945205479452
90,-20,1513,5.235294117647059
140,8,2812,1.9473684210526316
106,14,228,0.15789473684210525
118,-10,6960,1.0875
119,-77,5166,0.7682926829268293
93,-69,4902,1.5087719298245614
128,10,1104,0.13043478260869565
65,29,931,0.3877551020408163
56,36,74,0.05405405405405406
168,28,3978,0.6538461538461539
94,-20,2324,0.3373493975903614
52,-24,3948,1.7872340425531914
152,-44,5096,0.6153846153846154
66,8,3726,1.2777777777777777
89,43,242,2.0
147,29,1428,1.2352941176470589
151,1,297,33.0
33,27,2035,1.4864864864864864
45,-9,7544,1.1219512195121952
145,-37,608,0.10526315789473684
137,41,168,0.2916666666666667
131,51,1824,1.263157894736842
63,-3,444,0.32432432432432434
99,97,602,3.0714285714285716
64,-12,3886,0.8656716417910447
92,-48,1360,0.18823529411764706
135,-43,1422,0.22784810126582278
69,-45,105,4.2
155,41,1935,1.0465116279069768
180,10,1674,1.7419354838709677
103,-29,3599,0.9672131147540983
173,-3,1056,7.333333333333333
28,-18,90,0.044444444444444446
149,-19,52,52.0
179,-1,3468,1.3333333333333333
108,-4,623,0.07865168539325842
117,31,96,96.0
134,-34,1188,0.12121212121212122
82,-52,5100,0.7058823529411765
128,40,464,0.5517241379310345
69,-3,768,3.0
108,-18,2158,0.3132530120481928
113,-65,273,0.1794871794871795
131,-57,800,0.32
49,23,7084,1.1948051948051948
86,-50,1872,0.3611111111111111
119,-9,3280,2.05
72,-64,3600,2.25
64,-56,96,1.5
104,30,484,0.25
45,-21,936,0.7222222222222222
48,-28,4880,1.3114754098360655
87,-11,2925,1.9230769230769231
58,26,1376,5.375
136,50,192,0.020833333333333332
82,-6,792,0.4090909090909091
168,-30,1805,5.0
84,18,7425,0.7575757575757576
174,18,6336,0.6875
119,-57,56,56.0
154,6,4950,1.6363636363636365
116,-24,4914,0.5934065934065934
82,18,325,0.52
68,-38,4947,0.5257731958762887
70,2,4116,0.42857142857142855
80,44,144,0.25
160,-26,780,0.5128205128205128
54,-34,2714,1.2826086956521738
90,-40,2728,2.838709677419355
32,30,8100,1.0
123,23,4600,1.84
178,4,4536,1.1428571428571428
89,87,231,25.666666666666668
115,-83,95,3.8
138,10,2484,3.4074074074074074
59,-43,62,15.5
114,56,3087,0.7777777777777778
63,-41,7656,1.0114942528735633
81,-79,3510,1.2037037037037037
31,-11,3080,1.5909090909090908
143,-51,2800,0.4375
62,14,5032,1.088235294117647
154,44,2030,0.4142857142857143
65,15,3526,0.47674418604651164
67,23,2178,2.0
84,-4,456,0.7916666666666666
123,-7,1925,3.08
89,-31,7140,0.9882352941176471
78,52,2356,2.4516129032258065
123,-59,3003,1.9743589743589745
135,-11,1540,3.85
95,-21,2184,0.6964285714285714
118,-26,500,0.2
78,68,4550,0.9285714285714286
134,36,4212,0.6923076923076923
134,42,1740,0.22988505747126436
176,0,1258,4.352941176470588
138,42,715,5.909090909090909
71,-59,608,0.59375
142,8,5934,0.8023255813953488
139,-13,375,15.0
67,-47,5950,1.2142857142857142
109,13,4968,0.5869565217391305
67,35,6435,0.6565656565656566
22,8,2970,2.727272727272727
131,-11,4845,0.5368421052631579
90,2,891,11.0
131,47,3528,2.7222222222222223
85,47,80,1.25
117,75,2622,0.8070175438596491
155,-23,395,0.06329113924050633
157,-11,1280,5.0
68,28,7872,1.170731707317073
139,-43,2156,0.22448979591836735
101,1,462,0.2619047619047619
133,21,2700,0.48
45,21,300,0.12
62,54,4214,1.7551020408163265
104,-40,5628,1.2537313432835822
81,-17,4232,2.0
48,16,4087,0.9104477611940298
66,34,3619,0.6103896103896104
111,11,3402,0.5185185185185185
130,50,630,0.35714285714285715
92,26,5655,0.7471264367816092
151,43,7546,0.7857142857142857
75,25,6480,1.0125
84,24,1584,0.20454545454545456
120,-32,6320,0.9875
65,31,3216,1.3958333333333333
102,-58,304,0.21052631578947367
94,86,3685,1.2181818181818183
