E,F,G,H
34,54,30,25
1,26,85,12
78,4,42,70
81,54,7,93
64,97,49,31
69,11,46,10
35,50,27,29
72,28,50,47
80,27,28,16
96,4,23,92
83,20,11,85
69,53,49,94
35,17,61,66
36,44,61,31
75,8,34,30
37,98,2,70
68,62,66,16
39,46,65,61
83,43,66,37
71,6,94,98
57,34,55,36
36,16,56,93
8,20,91,84
40,27,8,81
99,79,87,32
5,60,66,33
89,79,70,93
19,24,15,15
79,17,95,10
13,48,32,83
6,12,64,1
48,93,47,78
9,58,64,78
5,9,99,8
56,22,45,10
63,75,95,99
49,70,13,63
4,88,37,82
68,49,23,41
96,20,76,14
9,88,63,52
48,30,1,7
37,67,45,33
97,75,5,56
71,17,11,21
24,43,26,11
78,66,58,71
35,95,38,29
38,45,43,99
9,8,38,7
88,41,13,36
60,68,35,15
14,36,26,51
90,92,12,36
83,56,38,98
34,58,11,42
15,56,52,87
24,47,95,2
33,1,56,87
2,64,34,79
15,48,10,4
32,81,81,45
40,11,16,48
85,2,30,30
76,9,22,63
11,78,4,34
46,92,77,45
22,29,2,86
66,43,60,11
23,55,77,5
29,37,19,25
58,75,63,13
92,83,79,60
10,54,87,43
91,95,67,80
33,73,91,93
27,81,43,59
25,63,40,57
34,75,34,40
19,11,56,43
38,47,75,7
50,43,5,19
14,47,29,36
21,43,50,51
53,55,55,93
22,50,8,57
12,23,77,22
75,2,39,4
69,99,32,51
59,86,23,93
21,37,45,62
28,86,48,96
24,52,55,7
6,66,36,27
29,78,74,54
64,88,7,93
66,1,10,9
11,34,7,75
50,12,89,34
75,15,92,70
6,15,5,60
69,33,78,32
65,67,61,71
40,35,10,31
23,92,69,69
73,33,76,74
19,71,37,3
11,33,42,49
1,38,33,41
14,38,43,25
51,87,96,80
92,73,75,99
52,81,27,42
98,6,41,19
40,76,83,34
3,32,52,49
73,86,37,6
74,93,39,80
26,17,39,25
2,18,5,32
86,74,80,74
88,37,73,60
24,50,75,74
60,35,89,73
18,59,49,84
97,27,52,17
23,97,87,38
80,35,56,8
33,9,73,75
65,8,24,99
57,60,14,91
68,48,50,31
94,92,3,20
28,70,67,42
22,41,85,18
6,39,33,97
1,96,15,97
84,61,25,33
95,62,66,99
39,13,82,39
86,18,20,42
88,13,90,67
8,76,83,36
29,84,8,59
33,51,73,72
23,18,45,67
77,55,88,29
81,48,59,58
18,77,17,93
7,15,69,51
42,11,75,81
86,94,22,86
27,9,55,66
49,38,84,29
43,18,21,4
87,97,65,42
9,69,1,17
99,11,35,49
21,34,73,98
30,85,3,50
74,20,66,70
47,98,50,89
75,42,9,41
80,20,47,2
69,84,32,1
59,27,14,29
52,53,79,75
2,84,7,95
99,38,92,39
53,7,99,42
61,15,81,19
85,91,28,33
61,94,42,24
53,42,48,51
26,39,49,35
9,3,45,57
57,69,98,58
24,7,38,18
88,34,83,82
43,46,15,9
46,63,87,36
34,85,41,62
64,96,84,73
59,9,50,15
2,14,57,91
14,45,87,9
12,68,62,62
53,71,73,31
69,56,49,16
37,61,69,47
63,22,56,48
77,41,28,74
61,37,31,53
41,67,44,31
38,89,19,22
35,56,8,16
67,37,79,51
88,75,80,9
87,69,10,39
18,82,54,64
56,51,82,93
35,88,53,71
43,7,67,97
38,83,30,39
83,22,9,91
88,46,39,34
68,45,58,10
89,5,41,26
19,46,47,67
10,1,33,42
31,90,34,79
99,83,43,6
69,82,44,32
54,1,73,48
4,56,14,91
75,67,89,29
92,92,79,45
7,55,30,76
34,25,12,8
26,23,18,4
20,15,67,16
96,78,10,59
75,55,64,54
76,4,5,78
85,38,74,94
53,96,13,3
60,8,94,98
56,87,25,12
87,87,3,71
12,45,42,75
75,56,6,71
96,69,41,63
44,98,50,74
28,3,17,86
75,95,71,86
22,87,18,40
83,47,78,92
28,88,18,65
75,66,1,93
59,33,3,97
24,85,79,30
27,30,77,92
55,82,98,60
14,84,4,19
33,49,99,15
74,36,34,62
54,31,13,39
65,12,35,1
28,94,69,68
33,71,92,59
58,15,28,24
1,23,96,60
93,98,65,22
32,76,1,28
20,67,75,66
42,38,48,22
19,42,96,72
24,82,8,97
22,20,75,53
22,33,7,93
14,36,26,38
25,15,37,58
19,91,47,73
99,66,68,7
87,28,34,27
92,11,40,87
85,76,97,4
62,60,85,18
17,71,83,7
44,78,18,19
87,96,28,26
4,49,21,82
90,79,85,25
31,73,53,49
92,16,89,73
36,10,76,64
95,2,65,54
98,98,38,24
81,25,41,77
89,48,64,51
10,46,54,9
12,36,40,74
80,18,68,82
28,99,37,67
36,97,45,28
57,87,38,15
44,66,42,23
81,72,46,23
28,84,53,64
50,9,17,85
62,74,79,77
80,47,35,29
64,80,65,11
12,25,56,97
75,46,53,31
48,3,73,81
28,66,38,53
46,62,51,1
59,73,92,48
39,37,11,44
45,75,85,90
73,43,59,25
87,76,25,79
63,23,85,47
63,2,68,4
65,89,52,70
29,50,3,77
75,12,27,36
43,93,86,76
77,37,39,68
50,78,72,40
65,63,4,44
43,10,22,8
46,69,35,61
5,19,45,12
24,31,80,54
88,56,58,61
57,82,8,78
86,53,83,53
73,81,44,38
52,95,65,31
63,88,24,68
83,75,70,82
12,90,27,40
14,76,37,2
21,53,57,35
87,53,99,3
45,4,79,49
37,66,31,53
89,55,49,82
53,46,89,81
28,39,52,83
74,23,35,62
18,31,1,21
83,86,39,18
20,37,95,95
20,48,60,88
65,13,38,76
65,88,31,82
7,64,39,93
20,72,75,73
64,3,51,93
99,40,78,33
59,36,33,71
10,5,20,65
60,88,40,84
82,43,30,53
46,15,8,37
90,36,66,20
35,51,23,58
51,61,62,4
97,83,69,56
83,85,57,39
56,76,73,56
91,7,1,59
34,54,75,58
66,20,89,46
36,47,93,37
44,71,33,68
28,1,85,46
50,2,35,75
31,76,81,54
69,3,27,10
97,42,69,30
87,48,80,64
34,80,93,35
74,78,60,84
76,1,17,82
1,53,47,96
84,13,5,75
86,23,38,51
30,87,20,90
19,3,8,73
2,53,66,82
51,55,11,64
68,59,34,53
74,95,35,90
41,75,9,42
22,50,32,18
73,65,34,3
15,49,52,35
31,28,1,61
28,60,17,82
14,70,25,8
85,85,71,5
44,83,59,98
28,69,66,67
1,63,34,9
90,39,9,55
9,80,84,39
62,97,27,48
67,27,48,29
60,97,57,87
27,53,86,37
12,10,77,29
85,35,23,73
70,56,67,8
7,6,10,67
10,2,33,5
54,50,96,91
13,8,36,54
96,24,15,45
19,65,87,35
51,43,53,50
10,25,85,12
74,39,96,24
48,91,69,14
92,10,17,92
26,42,27,43
40,91,29,6
18,31,78,51
54,20,55,70
10,38,56,15
33,37,22,62
50,57,63,56
66,15,87,17
48,17,78,24
44,15,87,73
35,77,40,21
33,78,56,4
4,89,38,51
39,91,40,18
64,61,43,10
62,60,99,69
48,87,49,45
78,71,14,4
83,68,48,53
21,60,73,91
83,95,16,60
67,5,85,40
8,94,43,85
23,53,69,79
91,22,99,2
42,78,1,22
60,43,61,37
39,27,79,40
52,62,70,38
54,69,70,55
68,8,35,36
73,22,80,66
57,75,15,37
76,69,34,9
39,61,44,61
51,62,69,53
33,18,57,28
30,61,50,19
21,6,29,42
17,13,71,27
8,21,45,73
42,25,32,84
55,29,39,58
86,92,53,50
50,21,73,85
40,43,92,15
96,44,22,93
58,98,32,65
81,72,30,86
47,26,94,25
96,11,94,28
47,78,19,11
82,63,3,13
77,1,61,40
34,45,28,55
39,43,13,80
91,69,64,61
2,69,59,73
8,46,68,95
3,26,52,80
14,15,95,64
40,28,27,55
49,95,17,9
63,11,65,58
11,28,19,71
55,62,75,44
25,67,93,35
52,74,92,46
78,3,12,91
35,51,30,93
98,73,15,57
26,1,10,31
64,79,55,56
73,36,24,1
61,48,57,28
26,64,35,42
20,57,53,74
43,10,67,18
73,79,3,95
37,54,15,3
73,62,37,89
61,48,42,49
97,17,70,46
10,14,92,67
53,78,89,5
90,4,35,2
42,70,31,63
43,70,60,38
58,28,5,66
5,64,70,59
46,8,15,20
93,34,91,91
23,11,7,78
20,9,96,80
74,67,49,98
75,40,38,37
32,1,64,73
13,84,95,51
19,81,87,42
79,94,61,71
64,26,67,44
3,26,8,59
50,36,72,90
13,19,88,6
34,69,40,69
20,18,1,53
67,32,68,19
68,93,28,87
13,8,92,58
9,75,16,52
4,44,64,68
85,17,85,34
2,60,52,81
33,83,99,21
56,2,5,32
12,78,6,95
76,6,20,59
38,40,86,7
97,83,76,7
54,4,7,7
83,26,82,68
37,74,7,1
53,36,67,87
15,94,2,92
40,73,81,24
66,53,56,31
7,81,79,21
47,98,7,9
57,51,36,46
9,48,8,47
64,27,44,54
41,63,77,25
95,33,29,26
86,89,35,9
58,8,86,87
88,64,1,89
42,85,55,77
62,63,69,7
27,98,18,92
25,64,39,80
15,14,75,77
52,41,40,7
60,69,23,16
13,6,20,58
38,10,57,46
4,3,84,67
93,82,74,46
73,22,97,49
65,23,8,42
93,94,99,51
80,17,6,32
66,27,49,85
37,87,42,65
14,2,98,40
16,8,39,76
91,38,16,59
45,10,65,34
6,17,59,83
17,61,32,8
82,47,76,40
71,58,81,19
49,4,10,84
39,9,93,24
20,73,3,38
67,69,27,3
2,81,69,53
45,3,19,65
27,60,84,78
5,2,32,72
87,58,94,14
63,97,23,72
38,15,91,72
31,71,77,41
98,86,42,78
64,2,88,11
85,36,50,10
27,40,85,64
8,74,92,25
16,87,37,22
82,58,68,10
70,16,81,95
57,83,44,90
37,33,41,77
59,75,9,99
52,16,35,68
30,33,36,30
29,94,42,35
67,90,85,11
58,57,28,11
70,94,52,64
91,15,54,97
6,54,32,29
95,94,44,25
77,75,99,50
50,90,19,71
56,45,91,51
3,15,78,57
53,81,53,53
89,30,60,3
8,93,43,36
62,93,68,31
71,48,31,30
85,31,85,55
40,36,60,34
81,89,31,47
44,37,58,1
11,41,60,78
56,21,63,28
28,54,3,52
66,80,92,73
44,56,88,20
82,68,67,68
77,15,23,97
90,4,50,82
19,27,44,6
50,82,84,95
10,77,53,44
6,17,83,37
21,34,94,73
17,32,69,51
36,76,67,63
44,74,90,29
25,42,84,31
88,95,29,67
38,14,38,92
21,25,32,20
90,85,79,20
51,58,22,18
30,82,29,5
87,56,81,17
16,31,62,23
26,36,8,16
69,68,95,68
23,53,33,19
12,78,62,76
39,2,58,86
43,90,65,51
30,87,54,78
91,40,60,54
97,90,86,39
61,88,23,7
46,54,73,7
44,69,23,33
27,63,41,43
62,66,95,78
74,39,42,55
74,72,16,25
12,71,47,70
33,14,70,64
89,89,78,91
13,29,86,87
22,87,22,53
15,34,54,51
77,43,51,94
32,15,29,65
47,4,64,58
95,83,32,58
77,48,89,40
17,32,34,48
16,52,18,89
91,86,64,42
46,47,48,31
53,76,18,54
77,75,95,56
43,31,81,1
70,66,93,44
47,51,23,66
2,72,20,84
11,14,3,20
1,17,65,93
10,22,70,91
55,82,25,48
29,76,47,70
83,65,95,80
64,60,91,89
27,65,33,98
29,69,94,10
58,68,76,74
63,19,62,65
36,16,45,57
47,70,39,4
28,22,66,88
46,1,75,65
65,89,17,73
94,79,49,48
82,93,23,87
50,99,34,49
40,22,5,12
96,68,72,55
43,58,81,72
18,61,34,76
13,33,49,30
82,5,62,12
42,26,33,18
15,12,72,35
63,94,24,68
40,89,19,64
63,55,36,32
93,68,3,72
78,13,76,22
43,66,18,28
30,91,54,50
63,43,55,57
26,60,14,78
74,42,3,20
87,97,67,70
12,71,77,11
77,95,8,14
53,73,11,10
64,7,65,29
9,98,19,87
19,29,19,47
99,87,45,96
22,38,58,96
98,74,89,77
96,68,36,11
61,28,5,34
99,32,52,1
38,80,99,54
40,71,94,31
45,95,61,1
57,8,68,62
3,8,50,74
22,64,83,3
27,82,10,11
39,47,85,24
17,63,82,10
82,71,83,12
90,98,36,95
86,76,91,27
9,23,37,56
38,45,78,9
49,74,93,36
90,79,95,5
36,59,78,59
97,20,60,57
5,35,70,61
89,60,63,63
72,55,84,74
24,33,5,94
9,91,44,44
50,41,49,76
1,13,70,1
36,11,97,97
22,68,39,93
76,97,63,56
34,18,13,71
99,47,62,77
94,69,3,83
7,1,27,37
54,23,61,82
4,12,88,15
40,76,61,89
96,42,55,45
72,42,2,52
34,70,95,42
24,85,88,50
15,79,8,22
86,69,2,93
27,30,7,20
38,75,64,74
88,17,21,10
41,56,44,80
97,85,67,43
90,63,89,56
82,51,10,40
4,49,44,38
6,73,55,45
53,49,79,67
16,68,61,44
69,78,51,55
99,21,41,35
22,78,34,61
70,10,48,94
90,29,99,3
30,84,78,80
57,3,70,48
56,16,4,23
50,31,92,53
60,28,50,15
10,51,65,43
60,2,13,32
2,30,35,25
33,59,50,21
95,16,94,64
10,58,78,82
12,69,9,83
69,13,85,74
29,82,58,55
21,54,20,20
80,29,86,1
50,47,48,23
51,15,81,58
71,48,10,62
12,13,93,86
82,15,76,28
5,83,14,83
63,98,59,99
80,72,38,4
39,79,62,12
85,44,57,87
61,4,89,70
28,7,96,50
54,13,80,22
24,73,64,28
78,42,60,94
4,74,91,10
68,74,34,46
2,19,47,90
14,29,60,44
17,14,51,51
90,18,56,32
18,54,57,87
21,22,8,32
83,85,29,94
44,61,57,79
4,47,15,34
36,79,69,59
75,44,13,61
53,3,65,11
98,28,33,38
58,90,80,50
2,96,74,6
71,22,96,93
32,67,59,1
62,37,79,81
86,5,64,59
39,59,52,39
50,42,23,35
50,96,22,28
93,28,60,86
46,65,52,24
1,47,83,18
9,69,38,56
16,34,65,91
87,99,42,56
73,87,95,91
10,51,31,74
29,61,45,95
76,54,40,87
23,67,43,22
2,15,19,6
66,83,47,80
71,30,34,31
58,94,64,98
81,98,11,37
32,76,98,34
96,8,7,71
58,85,60,61
12,85,4,19
28,32,78,2
58,63,70,49
5,38,83,42
64,45,95,23
53,48,82,76
44,48,67,67
11,18,95,93
38,23,89,74
9,27,68,1
3,30,95,82
42,27,27,7
93,88,12,32
73,57,7,42
3,1,16,33
50,12,1,80
11,56,47,35
88,59,7,31
28,65,12,17
96,52,62,98
77,86,30,8
5,46,49,26
96,25,37,96
36,93,95,23
47,63,56,53
50,80,57,52
8,13,71,66
22,2,77,29
71,53,2,32
50,19,2,86
38,92,41,7
8,5,89,89
4,24,97,72
31,55,85,3
25,68,47,28
11,43,54,97
73,47,49,17
72,40,28,28
5,8,37,55
61,64,3,77
42,8,3,59
33,82,53,45
41,23,97,14
82,78,93,68
15,22,45,49
88,64,38,45
62,98,78,42
4,88,17,45
42,51,66,41
33,76,30,20
9,77,94,10
93,97,14,40
26,60,67,79
56,72,57,6
26,65,13,90
16,60,97,5
93,64,65,27
1,59,58,31
76,95,19,63
74,56,76,47
12,13,23,12
74,76,71,2
33,30,46,95
21,67,7,5
45,69,83,12
55,86,47,20
50,70,74,2
60,48,42,28
44,14,89,8
94,39,28,59
45,77,35,95
45,91,64,15
85,57,30,79
87,39,88,37
2,53,46,25
17,66,54,86
84,54,85,98
99,80,36,26
46,36,40,55
62,13,68,37
75,57,64,99
36,90,13,29
54,40,82,7
20,97,53,90
20,1,60,90
60,48,46,19
79,66,30,48
92,21,60,3
1,3,33,38
42,47,19,80
96,42,5,53
2,46,12,85
83,25,18,98
63,70,99,8
30,5,2,24
34,82,94,17
89,69,13,51
85,51,83,81
6,45,99,81
4,58,39,19
56,99,86,82
34,49,67,3
8,12,56,82
33,42,99,39
70,76,89,70
9,36,21,39
54,42,98,63
62,44,33,62
17,49,19,63
93,82,6,13
95,22,87,60
34,16,70,96
74,62,33,51
30,23,6,58
76,98,20,24
85,38,59,29
70,79,26,28
53,84,3,43
38,74,44,24
90,8,66,39
75,37,88,76
86,40,86,7
20,86,28,78
23,12,23,68
15,38,25,25
3,52,15,56
3,30,45,88
9,15,20,91
32,58,5,98
1,27,58,30
14,99,96,9
42,45,81,43
31,60,4,57
61,3,55,43
3,47,91,26
42,15,62,90
44,82,6,90
93,26,42,81
30,39,70,93
53,68,27,32
32,37,73,86
56,79,12,3
49,44,29,75
54,25,36,7
79,15,88,79
36,45,69,39
91,53,33,73
23,67,55,58
71,16,36,80
47,40,60,49
69,82,12,57
46,90,4,17
34,42,96,9
6,98,28,83
