A,B,C,D
52,34,41,51
17,12,4,22
73,27,76,23
25,32,20,71
95,25,54,15
24,11,11,57
77,68,87,57
75,85,97,67
61,65,23,4
94,43,67,9
75,62,52,7
61,23,22,71
78,78,92,10
34,97,57,62
87,88,83,94
73,34,61,95
16,18,11,9
2,28,23,46
20,19,63,3
13,70,96,24
12,13,65,61
96,80,9,60
19,94,46,49
47,4,93,99
96,74,77,49
26,45,36,42
40,20,28,44
35,7,5,72
99,96,13,25
81,2,34,48
22,9,43,61
6,67,94,44
7,60,39,60
72,99,9,44
10,90,22,32
97,38,10,13
41,37,71,87
74,95,55,3
41,73,97,99
22,43,36,8
92,73,42,62
22,63,20,64
5,15,58,30
78,2,19,75
4,15,92,83
63,36,39,36
14,92,63,57
93,12,4,69
69,84,45,49
88,60,68,45
91,84,72,9
95,4,57,19
29,26,87,9
57,45,36,67
67,48,81,35
50,22,10,6
94,26,30,26
44,32,28,56
31,14,82,1
18,26,56,31
90,51,18,94
94,10,43,96
96,24,13,22
3,92,47,10
45,68,63,1
12,95,44,7
76,98,83,89
42,94,46,39
65,72,27,50
63,34,84,99
35,58,20,82
29,4,76,34
77,10,31,33
5,81,19,51
76,60,31,2
21,66,99,3
67,89,99,7
7,60,67,87
90,47,44,66
55,33,86,64
59,66,90,46
42,81,71,75
22,55,82,79
22,67,99,22
33,84,56,94
72,60,25,50
27,43,65,98
45,78,26,21
89,33,49,4
77,2,1,9
6,43,96,72
79,67,99,2
56,64,49,81
8,56,58,55
68,79,56,98
70,21,78,97
27,36,76,84
26,96,92,98
64,46,65,16
62,56,54,2
90,24,5,54
73,37,86,54
52,84,76,37
35,14,76,66
43,46,81,54
37,29,34,10
58,70,12,67
69,53,48,84
36,67,79,12
81,74,95,97
25,86,43,22
5,94,22,20
44,75,11,64
99,63,92,23
9,42,47,79
9,50,96,36
70,21,19,46
49,62,63,82
69,73,20,19
97,1,34,56
83,93,44,81
22,19,15,52
16,35,33,99
83,68,72,37
31,18,45,25
60,94,41,92
93,76,62,67
59,5,53,35
48,80,87,8
41,17,67,9
77,19,69,56
15,39,45,44
89,85,93,27
70,44,9,74
36,83,19,47
21,77,7,89
98,59,20,3
69,42,33,52
92,43,35,37
41,94,55,72
91,13,8,14
72,54,31,83
81,49,6,55
1,25,9,20
13,25,76,20
95,15,34,94
48,53,82,73
44,83,99,84
98,33,49,43
59,3,83,14
29,51,19,11
92,35,52,76
74,28,95,86
32,87,83,63
31,88,16,15
61,4,40,79
45,96,72,42
4,80,55,71
45,2,22,12
99,52,26,13
52,17,69,50
16,15,18,69
2,68,99,71
77,70,49,92
12,38,67,98
33,57,45,74
33,9,88,99
93,11,6,51
80,32,65,92
48,45,77,77
51,56,55,65
5,59,93,16
32,51,73,53
18,72,16,57
80,35,48,9
17,28,62,28
86,80,41,24
48,59,99,40
17,35,19,52
3,99,56,24
63,74,64,79
58,76,80,61
53,1,86,4
94,17,63,22
74,26,73,81
41,73,48,25
97,83,5,59
88,85,78,35
64,10,81,7
7,59,58,90
66,23,47,37
71,89,52,82
23,78,35,47
77,48,76,36
73,73,90,59
22,76,22,35
94,94,47,76
67,97,65,16
66,99,93,92
42,3,72,52
39,41,39,98
23,65,12,42
56,12,92,53
20,12,30,37
66,97,8,58
91,96,85,86
78,80,99,65
43,39,68,95
77,10,45,65
19,59,66,46
86,82,12,86
84,95,32,67
56,36,10,83
86,80,50,46
42,33,80,73
60,92,55,57
40,40,35,47
14,42,62,18
61,84,61,56
49,43,86,16
62,17,76,29
94,76,88,31
10,26,84,80
28,82,79,57
38,59,63,71
63,19,6,25
91,40,39,30
44,98,63,54
97,11,57,63
99,76,28,87
79,58,99,39
99,81,15,99
29,37,24,49
56,83,93,41
41,53,41,53
13,43,30,99
2,31,7,94
53,4,59,98
37,28,85,78
52,47,32,96
82,82,76,6
98,95,51,35
40,15,33,44
34,33,61,41
70,3,85,74
58,13,71,54
61,50,53,1
82,84,43,35
85,89,11,40
47,88,14,37
30,71,82,53
12,7,84,53
52,33,9,98
26,52,80,29
1,74,75,15
17,68,7,98
78,92,1,27
44,33,82,57
32,3,80,21
13,78,79,71
96,43,7,46
65,42,83,19
5,41,3,12
34,28,24,94
61,20,81,82
12,64,29,58
66,31,35,14
79,18,21,52
89,68,71,62
97,58,36,36
85,86,49,76
68,78,63,12
57,18,31,63
66,30,58,10
51,91,96,46
30,48,94,86
94,75,43,57
60,60,32,72
90,96,71,34
96,51,35,94
79,41,55,97
32,22,2,1
11,86,91,30
15,9,94,90
13,68,23,1
49,26,42,53
78,68,59,40
46,43,83,65
89,81,83,98
38,10,6,32
19,64,61,92
57,48,78,58
27,65,38,77
13,91,80,14
80,56,65,80
43,47,76,24
68,60,70,3
39,49,84,62
81,23,31,60
10,80,37,26
24,97,9,5
77,46,63,90
71,6,63,48
83,54,1,9
66,95,58,98
89,12,19,25
45,34,32,74
46,99,41,8
85,51,64,58
75,3,38,7
44,54,45,74
50,22,47,97
49,98,25,19
28,66,86,99
7,61,94,23
16,40,34,77
52,49,15,79
92,9,6,65
80,89,96,39
34,85,56,94
85,5,58,82
60,18,36,82
83,55,33,35
76,66,96,31
87,17,14,95
90,62,59,28
16,87,10,60
8,40,59,17
73,47,94,64
43,82,83,43
73,65,96,13
20,99,17,20
16,46,4,91
70,85,93,54
70,68,64,9
61,82,65,53
14,21,11,40
78,66,61,79
62,12,21,77
60,42,37,11
90,26,50,78
35,81,42,28
63,20,35,87
4,45,11,73
82,60,25,81
22,76,37,70
92,1,10,6
88,29,73,92
95,55,43,35
1,83,27,17
2,35,66,13
96,81,67,90
95,77,50,76
26,61,60,96
50,19,45,16
57,95,73,38
88,90,88,6
94,64,98,4
35,25,31,5
50,94,19,54
88,1,86,75
73,26,61,75
12,28,60,48
77,29,11,74
4,40,66,4
57,20,23,87
16,9,67,56
80,56,86,61
29,1,60,11
31,92,88,49
44,65,34,25
16,98,22,52
16,61,20,66
77,21,8,38
1,71,80,38
13,86,72,83
48,25,13,73
33,10,54,12
85,53,44,9
97,91,35,2
43,91,40,35
53,83,56,27
84,20,70,74
67,71,42,38
83,71,92,88
31,31,85,8
48,27,42,65
64,63,98,55
96,21,23,5
23,97,8,31
44,69,42,13
51,84,71,82
69,56,93,42
65,22,15,58
59,35,62,2
65,47,52,95
62,40,42,58
54,60,56,49
82,99,56,64
97,15,39,72
94,37,23,65
44,67,57,64
27,94,39,79
37,17,17,65
55,33,80,72
95,31,7,69
86,94,2,75
90,86,19,50
69,47,89,49
33,81,61,1
65,13,6,86
86,22,65,63
39,50,65,58
53,18,21,3
21,99,14,99
18,9,3,94
19,70,35,13
68,38,10,98
26,31,49,55
63,67,32,29
35,32,27,56
21,14,39,65
65,27,60,71
9,95,82,42
90,24,50,34
85,52,20,78
47,78,19,21
83,58,47,43
63,17,9,49
15,28,73,33
24,34,31,37
19,64,14,66
38,78,12,96
55,31,95,59
92,20,25,37
68,35,10,31
36,79,80,35
87,5,37,85
30,41,76,10
38,98,37,34
73,19,71,40
38,99,85,52
20,45,90,48
91,20,5,94
47,60,70,24
20,42,22,38
23,44,27,1
97,58,2,3
95,57,2,21
86,57,32,62
34,25,67,34
76,8,1,71
74,43,91,16
42,60,30,24
77,88,41,1
8,47,12,8
3,69,1,13
31,52,41,32
22,73,74,94
60,18,21,7
63,3,66,49
34,75,96,97
47,92,97,71
37,8,19,22
26,42,10,4
12,15,8,31
48,67,58,33
68,62,51,45
77,97,20,81
65,6,88,15
92,17,79,13
33,65,64,93
32,15,88,17
74,43,30,36
72,51,71,60
99,11,41,47
12,11,7,93
35,36,81,69
90,9,87,45
53,46,58,30
8,1,98,51
29,31,46,12
62,29,87,30
47,48,86,27
32,8,43,44
53,71,82,59
68,36,48,80
2,24,11,93
17,5,91,21
38,58,61,78
37,88,22,6
42,93,73,64
42,88,82,62
3,17,95,52
40,71,5,72
39,9,76,45
22,68,92,87
95,68,93,45
52,69,66,1
1,67,16,2
60,24,85,7
76,64,79,67
71,9,22,30
16,14,89,10
4,61,4,98
55,22,27,2
48,79,2,69
28,52,92,15
72,9,95,69
5,24,48,4
26,91,92,40
5,57,91,55
98,59,88,96
99,6,69,82
67,3,50,27
67,25,28,77
77,78,36,46
5,15,68,19
52,3,59,97
27,52,51,16
56,66,52,16
65,15,61,78
3,86,62,37
75,47,14,36
27,53,76,50
37,71,91,7
81,72,21,1
85,29,33,61
64,3,40,35
45,78,82,6
91,29,68,23
48,80,75,5
31,35,38,93
4,29,18,42
24,14,10,56
51,52,11,63
95,99,8,97
36,62,91,60
64,89,22,34
25,82,64,39
74,76,90,92
15,67,9,83
10,57,7,90
75,73,6,14
27,22,10,11
85,59,90,98
96,73,25,15
58,30,64,90
87,29,98,14
27,16,69,17
11,74,9,9
1,21,31,12
24,79,44,73
31,33,37,22
64,61,74,5
84,12,44,3
23,38,17,6
37,92,59,99
82,54,66,1
3,94,71,15
74,3,72,69
71,62,76,79
24,77,51,99
11,7,7,50
22,95,46,31
20,24,36,36
74,56,87,11
66,86,59,88
46,42,88,79
66,16,48,11
62,48,29,69
66,51,98,47
57,38,60,35
6,70,4,1
37,62,75,81
7,81,86,11
16,36,47,63
89,35,23,82
34,54,11,69
34,53,57,83
38,78,24,92
3,72,93,16
58,99,19,59
78,2,22,75
61,7,29,69
92,32,77,33
84,5,41,91
90,95,36,72
7,6,47,67
13,18,15,52
68,22,71,20
85,17,97,37
45,95,51,73
62,58,23,27
80,5,9,83
1,73,88,98
54,17,76,22
82,16,2,93
23,24,58,86
59,14,97,4
93,76,5,5
84,89,44,48
96,23,25,72
73,70,83,2
73,35,9,1
54,53,42,82
82,5,36,28
69,95,36,22
39,84,20,28
38,9,79,26
25,85,35,60
76,18,5,80
25,13,42,61
92,13,61,38
31,99,37,58
85,76,66,84
51,13,26,46
99,72,29,74
93,57,14,22
84,79,60,56
17,67,43,90
94,43,72,19
43,58,42,36
29,79,36,23
49,49,1,48
88,93,91,79
11,5,70,84
4,23,97,71
66,47,97,12
49,27,65,89
73,82,93,39
22,96,80,16
35,45,79,21
53,66,61,12
67,61,78,71
8,89,9,72
67,18,5,29
7,9,32,89
58,82,55,20
37,9,61,81
34,29,74,77
62,32,43,94
31,40,75,21
35,66,19,26
90,40,77,20
27,21,11,73
15,77,16,91
49,28,69,21
12,94,78,46
24,98,53,39
38,77,16,35
13,98,76,43
18,98,53,49
11,67,61,32
91,95,12,57
88,47,15,76
59,77,5,4
27,92,68,10
4,21,9,81
86,41,29,85
71,54,96,39
69,3,35,82
54,84,58,43
91,29,63,88
22,73,84,56
26,5,31,3
60,28,32,77
20,23,27,89
75,96,76,34
96,36,69,78
48,30,99,89
47,63,85,49
18,42,89,8
56,75,87,37
13,4,90,43
82,15,65,40
76,24,59,89
33,29,4,71
78,13,56,39
52,65,57,16
24,1,99,17
21,95,25,15
52,52,57,35
45,18,42,48
66,46,71,54
8,22,84,13
20,93,50,26
52,56,15,71
61,7,64,60
57,33,25,97
42,38,36,67
33,73,21,45
96,85,41,56
52,47,13,40
99,9,7,86
84,41,50,13
9,92,89,38
41,62,28,7
98,62,64,41
5,22,45,75
47,34,14,23
42,98,14,50
78,10,11,61
58,28,67,1
79,24,72,65
80,32,28,94
93,20,1,5
2,9,12,12
21,80,21,1
66,47,95,80
6,90,57,56
82,88,88,60
99,34,39,46
85,31,7,2
66,70,22,89
77,6,91,4
98,6,78,17
45,87,96,58
87,97,8,48
87,39,25,89
63,68,2,39
75,63,75,65
84,73,51,18
42,60,81,74
29,42,25,1
23,92,62,83
40,82,17,48
79,24,46,2
39,53,75,83
41,30,25,94
51,55,73,74
54,85,24,2
40,94,39,95
95,76,38,75
50,1,31,53
70,74,20,79
92,68,53,55
93,34,71,90
47,70,4,38
22,33,8,91
60,60,74,79
35,19,31,55
48,91,71,23
32,68,7,62
40,96,71,59
65,51,25,63
75,48,49,28
29,17,25,7
48,13,85,27
37,37,4,52
13,63,79,21
91,4,16,83
12,20,31,61
22,66,31,96
61,39,27,34
61,3,21,80
23,35,68,42
71,99,15,52
93,60,48,74
85,89,40,85
80,63,14,32
14,28,27,84
17,86,59,66
7,76,84,46
66,76,73,5
32,69,30,74
71,81,79,73
40,97,52,85
1,96,6,82
80,6,79,99
69,59,25,5
70,58,60,98
52,26,44,89
98,23,88,21
50,75,32,25
2,25,17,57
91,47,31,24
78,50,16,99
18,38,47,18
85,8,11,77
77,33,14,61
11,13,83,86
88,55,17,70
34,97,20,25
95,74,3,8
85,16,94,53
27,12,78,71
77,61,24,87
53,21,55,5
65,45,30,46
90,97,81,92
44,3,37,35
47,52,45,72
2,35,90,11
45,79,8,96
1,60,46,36
89,86,39,99
48,55,10,23
25,11,94,96
99,68,13,30
27,99,9,91
87,6,80,91
68,82,37,36
44,79,6,17
59,40,94,95
71,8,64,48
75,66,25,3
92,71,74,20
17,65,30,22
95,31,16,27
67,95,4,88
27,96,41,84
22,99,81,67
7,66,77,74
93,50,14,2
62,13,61,17
38,35,19,76
16,26,65,29
74,19,16,17
99,65,60,29
95,34,65,55
71,88,48,88
5,87,37,75
64,30,66,58
33,41,41,79
3,83,40,19
79,86,49,33
91,26,43,9
22,73,89,83
26,1,47,49
12,73,69,94
56,64,2,29
49,17,55,83
50,82,16,63
64,18,82,60
59,83,26,10
1,15,63,6
99,82,11,82
4,74,11,37
76,40,49,26
92,45,23,64
70,71,80,23
2,3,94,73
42,52,84,90
31,37,35,34
28,86,62,47
42,55,9,57
77,17,96,3
46,73,85,12
33,72,23,22
40,62,45,87
3,67,84,32
17,36,46,45
19,95,24,22
33,61,61,92
49,76,52,37
10,54,6,99
3,49,35,3
9,24,63,23
90,64,5,90
28,81,95,56
37,57,23,3
51,9,59,95
25,77,34,37
79,94,98,56
9,20,87,7
76,67,45,36
27,1,66,6
28,40,37,94
51,25,88,94
89,19,2,11
48,48,82,45
89,32,56,35
70,50,26,36
78,17,13,76
12,19,56,81
26,97,18,36
21,39,54,69
91,57,46,56
37,94,36,21
14,97,56,53
12,83,41,36
61,70,69,93
75,93,12,32
6,42,42,37
26,47,58,18
78,48,22,94
42,74,67,74
84,18,93,9
67,28,6,44
92,54,68,80
8,47,51,19
69,37,66,59
90,59,4,82
34,44,36,89
1,99,92,67
21,36,52,75
5,82,4,3
33,37,2,79
68,46,17,63
19,9,71,5
55,12,3,93
32,1,86,90
15,48,60,56
82,87,50,83
89,25,40,79
68,13,39,78
32,52,60,13
38,4,84,66
94,16,83,38
11,39,91,50
60,19,28,96
72,37,63,59
79,16,5,43
54,77,6,38
56,62,32,96
52,34,74,56
84,44,94,95
5,6,17,46
8,72,20,84
68,56,90,49
67,94,18,58
32,72,28,73
49,55,69,88
64,39,29,52
94,53,56,5
87,8,7,12
99,22,40,33
24,62,51,85
33,69,14,43
50,46,38,72
70,95,52,52
77,38,76,84
38,8,89,78
59,66,63,8
37,88,68,30
99,85,79,96
52,22,48,65
34,89,34,17
58,10,36,68
99,90,53,28
75,72,3,53
22,25,40,24
36,61,26,57
2,42,64,13
67,32,56,34
88,66,4,22
32,76,37,71
54,1,4,21
85,39,28,80
74,98,39,25
34,50,94,68
14,74,46,99
23,56,17,77
85,48,91,55
76,50,24,35
47,2,12,2
59,42,36,53
46,48,71,89
35,46,58,5
98,87,36,17
8,13,87,59
4,58,61,17
97,98,37,66
62,32,10,95
26,82,62,92
42,52,58,41
98,89,65,87
83,40,14,20
78,68,81,37
32,77,74,91
8,39,73,29
77,92,97,85
56,53,4,6
12,39,91,90
92,36,46,18
37,58,22,2
76,3,64,63
50,41,59,76
39,18,59,37
15,25,37,70
64,14,11,4
81,94,88,41
14,3,77,62
33,88,69,19
8,50,24,96
32,47,96,92
29,26,82,18
93,26,24,15
66,83,78,33
61,62,88,19
80,9,40,40
1,95,46,24
97,45,1,11
41,7,72,17
71,37,88,2
38,52,72,27
76,94,6,97
14,6,14,81
29,41,46,34
21,31,92,15
86,89,55,91
29,83,93,6
51,74,87,66
64,14,7,2
3,88,71,33
33,68,89,9
7,45,28,65
35,11,74,69
48,97,94,92
97,87,70,94
97,12,72,75
93,71,89,78
41,18,55,44
80,25,97,74
65,49,98,23
55,47,48,68
94,47,67,43
57,28,76,76
9,52,67,19
81,36,5,43
65,97,28,31
94,59,61,45
71,50,8,91
77,45,34,69
86,86,5,33
83,55,4,21
56,71,80,25
4,91,98,95
39,78,43,55
18,65,68,89
14,81,24,98
86,53,23,69
12,74,26,96
51,86,72,71
30,77,26,4
20,28,91,96
89,30,86,8
55,43,86,31
95,19,85,68
19,12,34,15
10,81,82,17
62,11,70,51
71,80,88,37
33,8,89,22
81,62,13,19
17,99,18,48
68,81,49,77
16,29,32,5
7,81,95,2
2,87,87,91
62,37,98,17
16,52,2,46
12,46,91,1
63,13,74,25
41,77,53,77
48,40,63,95
40,15,46,85
89,33,85,71
35,27,84,22
95,47,60,73
31,18,22,20
15,85,93,82
55,35,55,62
93,97,44,3
10,80,62,35
8,53,67,48
21,29,52,25
83,19,19,4
34,64,73,81
46,11,27,22
21,3,58,32
62,43,64,23
55,91,86,30
23,65,97,63
87,39,3,16
92,49,77,92
1,7,79,30
31,26,46,27
53,77,32,37
77,15,80,6
84,93,98,51
64,5,31,42
85,28,23,14
57,56,49,36
89,93,25,95
49,91,15,59
65,63,87,19
1,81,40,48
66,84,19,62
31,64,49,45
43,64,12,91
95,56,82,9
83,25,35,71
98,44,67,57
43,41,60,77
78,17,80,51
88,60,37,56
29,66,84,46
96,75,91,12
82,47,17,22
88,44,62,80
20,43,69,23
23,22,37,43
68,33,83,28
52,74,48,54
67,79,99,49
14,17,6,3
28,21,67,35
38,20,8,6
55,66,46,48
72,20,67,36
63,5,24,99
29,15,27,13
20,26,60,69
79,9,56,46
81,61,85,58
55,89,65,75
77,95,64,76
42,93,45,24
83,3,66,26
51,46,79,77
4,17,15,97
60,75,50,75
80,39,18,87
64,63,11,28
88,80,61,42
90,1,15,85
96,83,7,61
37,27,35,4
59,87,44,32
27,88,85,32
41,15,62,9
40,53,60,99
27,7,3,32
32,22,43,69
61,24,47,60
66,79,12,75
32,50,46,30
95,89,55,21
14,65,47,70
51,54,23,44
57,70,84,27
79,13,69,20
65,38,53,71
39,27,67,24
41,66,78,97
69,10,82,7
27,88,1,37
50,43,12,50
44,32,79,86
60,49,91,7
26,66,69,99
9,89,35,35
12,54,77,62
93,83,12,60
22,52,99,93
82,9,3,53
30,2,56,29
79,42,64,50
23,14,44,89
68,13,14,82
39,43,38,24
90,9,19,59
89,86,16,58
72,90,53,95
56,18,62,67
59,68,79,71
95,54,91,67
29,80,78,36
95,8,6,80
54,15,22,40
48,49,23,23
53,70,11,72
41,37,13,57
89,71,36,5
18,61,65,19
4,63,88,50
49,43,25,81
4,63,44,78
74,38,55,39
36,2,52,46
16,5,18,83
10,79,3,52
75,85,22,71
15,34,26,88
61,71,98,71
97,18,11,72
36,69,26,15
1,10,37,40
10,38,77,10
3,84,61,54
36,61,82,91
95,45,30,69
39,10,20,3
61,15,95,12
20,36,58,92
97,5,67,79
50,24,82,42
17,58,52,7
44,56,19,65
79,80,2,4
53,47,6,57
86,6,13,96
81,38,74,57
39,2,2,17
94,55,99,2
91,86,19,26
3,4,28,36
12,48,62,95
50,92,59,77
11,75,24,87
32,35,79,31
87,92,39,33
8,92,52,55
91,29,37,90
17,31,82,78
88,19,89,2
5,1,98,36
61,52,7,59
84,10,38,20
19,53,95,56
26,43,46,41
39,50,17,84
16,82,47,29
23,74,31,7
42,19,38,92
79,31,50,22
32,84,42,45
30,56,74,91
81,5,22,78
85,86,25,65
51,69,45,88
84,84,10,62
25,45,72,85
92,8,36,80
44,40,61,34
60,66,48,62
13,86,46,51
56,60,39,62
77,37,85,63
79,27,51,79
78,86,14,22
3,99,23,84
45,48,21,32
61,31,53,10
51,31,81,68
80,17,79,37
99,14,5,98
17,46,66,79
90,36,71,84
11,1,50,69
78,45,35,34
7,24,65,48
1,52,97,72
25,60,84,96
84,52,75,4
24,52,43,27
33,32,66,98
36,51,32,26
77,78,25,45
4,69,3,84
90,84,49,36
65,46,47,75
7,83,1,59
77,23,96,82
56,53,88,18
61,71,10,14
77,35,31,8
48,26,74,80
13,4,57,50
38,88,76,46
14,57,1,45
64,50,47,74
38,83,99,63
4,64,24,43
36,23,56,73
77,34,22,28
43,47,85,37
29,40,35,25
92,51,83,40
14,7,22,95
20,68,79,97
1,55,95,68
31,67,60,13
16,47,56,83
75,18,50,97
68,48,20,83
70,8,75,15
24,23,55,24
51,17,36,57
64,21,86,86
74,92,24,88
37,82,73,51
53,81,3,21
86,96,66,58
28,21,39,50
30,23,62,72
68,32,47,97
28,34,62,67
43,93,67,81
91,55,44,73
67,62,44,98
86,56,2,95
89,33,34,56
42,16,81,54
98,29,79,7
66,38,91,27
76,59,32,89
94,94,52,55
39,46,12,79
91,4,51,61
17,84,22,3
47,64,20,2
8,76,28,51
99,12,93,38
10,34,81,89
64,99,22,27
46,32,3,66
52,82,49,16
