A,B,C,D
9,82,87,10
26,13,49,81
91,45,47,96
57,65,92,77
55,71,34,16
8,14,44,96
48,44,40,72
41,57,15,69
21,52,74,86
88,39,43,55
37,95,49,42
37,83,16,56
62,29,90,94
50,68,43,91
74,92,66,87
80,4,7,92
41,54,3,2
83,6,41,33
2,6,54,2
45,87,16,23
55,45,65,19
97,37,16,74
57,72,32,73
66,57,75,58
62,91,24,81
8,95,21,51
39,27,33,31
6,57,65,73
74,10,79,82
99,76,15,86
63,51,38,56
24,54,97,58
43,63,28,54
25,30,50,6
76,51,96,44
2,1,72,2
34,82,97,14
85,43,51,69
13,27,11,17
30,35,33,88
91,37,66,17
21,31,2,19
87,30,46,40
32,11,73,88
94,35,27,61
30,3,44,77
8,12,73,22
39,24,75,68
99,89,28,69
9,30,93,71
6,3,70,86
95,40,60,53
16,81,57,67
6,80,55,53
96,28,3,19
42,14,24,79
55,86,43,56
55,32,52,43
15,92,85,21
48,28,48,88
48,14,65,11
78,57,24,46
19,6,31,29
63,98,51,73
67,25,92,42
99,59,26,5
34,81,71,12
61,26,50,90
19,21,94,73
61,48,53,26
94,95,82,5
51,16,4,74
46,83,6,11
44,89,11,38
47,44,67,63
85,18,51,99
12,77,95,1
46,54,64,58
54,90,47,2
41,30,81,56
50,45,90,95
58,39,90,37
17,36,58,96
93,19,35,30
61,40,53,13
8,38,41,80
76,96,43,51
12,28,64,11
88,10,97,17
66,93,86,71
56,25,55,67
78,54,20,32
66,77,45,66
86,84,86,91
43,16,28,22
34,67,78,96
44,34,69,91
2,78,20,59
82,5,76,38
10,23,56,54
70,14,55,50
63,82,28,34
61,58,98,58
48,62,72,71
56,86,54,26
39,96,57,55
46,65,7,46
29,31,33,32
82,73,43,9
92,51,42,60
98,49,55,77
22,97,12,51
8,72,39,87
59,48,75,44
10,38,56,94
97,9,25,71
75,78,33,18
14,74,4,72
57,2,53,97
19,30,88,54
32,15,77,13
98,66,91,56
16,69,98,86
76,17,67,1
28,81,75,90
71,4,83,79
55,13,15,31
44,76,27,24
21,67,65,71
31,11,19,31
49,85,9,89
7,25,73,90
10,55,76,89
30,55,22,83
89,42,40,55
78,71,4,13
24,40,87,31
37,85,19,36
54,34,35,12
84,36,15,62
29,4,63,31
52,83,30,32
66,37,59,55
20,25,15,83
35,7,84,7
58,11,48,60
66,94,39,83
11,7,59,63
19,16,1,14
58,43,73,27
70,39,4,44
8,42,94,81
12,63,6,21
22,92,8,88
98,72,54,38
36,89,51,83
39,93,98,67
24,94,10,4
42,36,11,41
68,92,53,38
92,37,33,12
55,75,29,13
2,37,88,1
66,71,33,65
92,21,32,40
31,20,46,91
62,93,79,42
56,37,41,34
31,27,60,99
90,58,5,41
68,40,8,30
21,85,29,5
20,10,11,90
49,4,12,54
76,88,34,20
50,8,30,89
28,39,56,75
40,40,67,16
72,79,74,10
14,84,89,64
5,52,60,75
67,4,32,98
96,94,46,21
15,73,31,26
72,99,52,40
86,35,60,52
40,48,88,66
33,95,57,20
32,42,11,14
83,25,77,25
64,2,61,76
1,40,73,74
84,5,6,68
58,53,65,38
54,46,65,92
73,66,52,26
10,30,32,48
51,55,97,79
7,95,61,27
22,28,45,94
45,69,50,3
34,26,94,4
4,72,19,87
46,54,68,42
50,6,37,38
66,23,88,32
37,53,39,17
40,52,74,8
71,50,24,79
21,97,67,50
58,3,13,2
83,67,56,1
56,67,96,60
66,34,50,67
51,16,88,95
68,42,83,43
85,75,88,77
14,94,2,3
36,73,19,5
90,92,51,27
15,7,52,45
94,72,68,18
45,56,41,71
54,95,63,23
90,71,1,91
81,1,8,70
15,42,5,24
25,83,1,68
48,1,60,92
70,15,79,58
8,8,5,20
27,44,20,65
63,45,66,57
7,9,86,63
25,67,87,23
98,63,81,83
67,84,5,93
83,44,21,62
37,35,94,61
44,95,29,43
6,6,13,34
32,22,54,77
55,1,40,94
49,35,90,10
20,83,22,5
77,59,41,79
63,3,88,4
75,42,31,77
45,35,13,37
55,21,11,16
78,56,19,92
87,70,60,17
30,31,9,92
52,60,98,68
83,80,34,80
51,77,55,45
36,17,23,82
11,56,82,59
7,89,28,97
94,11,37,94
65,75,13,60
53,26,20,32
26,95,54,54
10,37,53,73
33,42,84,49
9,64,93,46
90,11,43,25
51,74,63,11
5,8,4,61
1,33,85,9
84,45,37,13
81,33,25,39
35,1,22,37
4,15,71,92
35,96,40,52
61,50,21,18
58,47,85,85
8,73,48,20
25,78,39,42
90,60,59,40
11,24,99,94
21,21,10,74
92,11,23,84
46,88,69,98
83,75,93,99
79,77,11,67
56,90,65,20
22,98,45,98
2,61,45,71
80,86,86,33
89,28,22,55
28,67,96,52
34,17,15,9
75,88,30,78
98,12,70,56
69,13,29,89
76,48,87,83
6,17,81,20
54,84,33,21
68,96,27,77
21,96,45,61
78,34,90,61
88,62,82,24
49,60,14,2
84,76,1,74
2,37,20,93
53,20,63,91
4,22,13,91
27,19,67,79
51,97,59,56
83,29,8,68
54,39,44,37
32,27,11,51
96,41,20,61
19,97,37,10
49,14,10,10
95,91,79,97
45,21,19,50
83,96,37,8
2,76,72,44
9,70,69,69
52,18,12,26
20,72,45,62
50,84,6,80
40,17,75,49
89,80,17,96
94,65,88,57
92,5,77,86
66,71,64,47
99,96,54,24
6,1,49,4
43,57,39,69
92,25,31,85
11,22,62,74
58,10,89,46
10,57,66,75
69,83,80,28
47,15,96,79
67,86,23,49
66,68,3,80
86,14,60,47
39,20,44,45
3,22,4,65
86,4,38,36
69,51,59,15
50,70,42,94
23,66,6,22
69,71,69,8
63,4,70,40
85,97,2,28
76,7,13,92
23,31,14,82
13,56,26,74
25,55,87,94
34,44,57,37
75,60,37,88
49,16,11,84
15,4,89,6
27,36,88,9
25,2,45,71
76,50,57,40
36,25,5,83
95,94,26,93
36,89,48,16
27,32,68,79
7,17,69,62
46,59,1,84
52,49,63,66
70,36,14,83
7,68,57,86
30,58,34,98
42,19,21,32
16,17,35,98
91,29,18,20
41,73,71,38
31,18,88,6
7,56,38,17
45,48,45,14
74,83,52,21
95,2,56,38
71,8,20,28
31,20,1,10
77,17,50,69
60,29,42,71
16,12,49,85
12,50,19,74
34,25,26,2
92,87,46,27
13,5,75,26
2,55,32,77
91,36,15,84
11,30,93,73
33,57,6,95
57,67,73,28
45,7,93,61
83,90,1,99
30,11,73,63
76,17,41,12
90,11,51,41
48,81,8,13
33,32,14,11
51,35,81,49
32,9,62,25
75,73,80,48
22,32,58,66
17,49,87,88
25,91,11,21
87,51,10,73
73,33,6,34
87,71,25,72
25,15,90,43
48,7,92,28
45,95,50,74
55,25,48,26
20,42,88,94
33,67,13,12
59,95,7,16
92,85,32,86
15,41,27,74
56,82,26,30
89,32,55,24
96,37,88,99
30,83,64,72
69,94,4,98
84,55,50,36
14,90,20,64
46,76,37,46
6,63,99,56
60,83,48,69
76,60,4,16
14,6,40,23
62,22,71,67
72,41,23,97
59,85,99,30
32,81,76,32
78,26,88,61
24,15,37,39
41,5,38,23
52,72,88,78
8,26,71,94
40,21,97,66
66,32,56,81
7,46,79,22
73,57,37,63
95,48,67,57
1,71,37,51
40,63,29,74
34,48,52,50
73,50,44,14
69,28,75,29
2,79,67,46
26,33,26,98
1,9,2,27
37,34,98,8
35,71,39,17
21,61,69,72
56,40,82,32
9,15,64,5
28,64,66,93
72,22,54,44
56,50,20,91
78,12,40,1
93,27,23,37
61,11,37,64
45,82,31,99
48,69,83,26
89,15,71,33
75,59,84,97
84,27,35,5
48,66,84,99
17,54,82,58
2,13,72,73
89,61,76,68
36,82,6,3
68,12,85,46
39,2,47,78
49,34,34,7
40,37,82,30
46,93,89,87
26,93,12,58
82,13,11,33
57,15,4,7
32,92,59,91
12,17,27,31
32,70,41,94
19,99,92,86
99,76,75,24
94,61,69,13
19,68,49,34
49,71,78,10
32,66,3,52
32,42,50,70
67,70,96,1
22,17,87,16
79,44,92,16
42,10,61,87
40,22,25,25
52,51,72,78
35,89,37,63
76,21,7,7
46,23,69,86
26,88,37,26
37,13,52,35
98,63,41,12
60,53,51,54
82,84,58,4
8,50,36,20
52,54,3,97
95,37,36,1
95,8,31,18
2,47,38,7
86,37,87,89
37,20,85,87
94,47,16,23
74,31,9,7
87,53,28,97
37,25,45,63
88,25,59,11
45,85,18,70
35,56,81,61
64,39,24,42
61,88,47,89
51,71,49,18
53,42,31,72
2,44,55,33
42,85,40,52
60,1,97,6
94,74,15,88
48,46,84,55
8,24,64,4
1,52,6,64
25,74,27,84
25,42,99,9
12,49,98,6
22,51,98,16
20,97,94,86
21,12,81,15
7,30,91,31
2,53,18,76
66,61,52,16
33,28,25,78
26,26,40,73
35,55,89,17
74,66,74,38
60,46,6,38
54,64,87,80
21,98,63,82
12,81,86,57
69,59,12,92
47,18,19,49
46,10,2,37
98,70,51,78
37,57,28,83
14,38,84,47
54,98,56,91
37,29,69,54
66,23,22,11
88,59,42,34
76,75,99,3
30,3,55,37
18,27,92,82
54,91,8,76
89,48,7,24
91,40,48,38
30,33,12,37
98,1,43,14
26,38,58,67
22,70,16,85
46,89,18,79
12,57,21,5
98,57,45,43
95,85,54,31
37,66,59,61
85,88,88,12
5,23,2,45
65,84,52,1
89,90,68,51
52,56,7,89
74,43,96,1
50,84,12,99
15,67,60,85
84,44,16,29
33,36,48,16
45,63,26,83
24,89,7,39
37,94,16,50
36,13,92,77
18,68,26,72
55,64,82,40
4,68,90,40
4,60,12,8
67,37,11,44
12,33,26,36
10,38,80,61
38,49,75,39
42,16,86,16
93,43,2,96
38,44,18,44
69,99,95,19
51,33,75,99
96,78,66,96
31,88,56,1
80,74,90,55
46,70,54,91
50,32,13,25
15,53,51,97
36,34,42,98
62,18,6,24
67,93,20,39
10,44,59,46
25,65,88,31
31,1,90,90
73,50,92,50
91,87,72,63
88,1,77,3
16,99,19,5
74,64,92,27
8,51,31,2
85,29,49,63
11,52,88,87
1,80,65,54
10,21,70,44
46,97,35,80
38,24,74,68
99,55,29,70
40,25,41,86
45,22,66,33
40,44,19,24
58,65,77,25
29,60,84,85
65,13,76,31
32,91,77,39
62,73,77,20
37,58,39,56
46,72,10,50
73,5,65,70
85,49,54,78
88,46,20,87
88,88,74,17
90,48,65,11
6,65,19,32
75,67,69,86
63,76,75,5
10,57,85,70
61,48,54,92
51,16,65,99
15,7,90,33
60,71,51,95
46,44,99,9
89,42,98,36
66,19,10,8
96,21,46,57
66,89,5,79
73,84,80,16
48,20,96,82
48,91,22,98
51,50,11,42
77,56,36,75
33,12,6,50
58,4,86,49
32,72,84,67
32,49,92,46
32,16,61,67
50,16,47,77
61,50,42,81
90,40,15,42
59,33,65,87
97,54,77,98
50,25,81,80
54,30,18,88
44,76,79,80
48,17,67,48
22,80,8,38
90,4,67,55
73,28,1,92
35,11,41,59
68,17,37,9
78,53,76,22
82,54,55,33
3,19,98,84
52,47,78,64
41,7,85,18
50,36,36,53
69,77,22,37
40,63,83,4
58,87,28,54
45,24,29,32
81,74,76,57
43,97,63,71
76,98,67,73
55,59,33,71
30,54,8,88
54,58,99,74
26,44,57,63
68,4,88,2
71,69,74,97
12,40,76,56
37,63,7,37
99,23,4,81
49,58,22,12
24,75,77,79
77,52,33,64
49,44,41,64
99,42,50,28
14,42,69,81
79,29,25,14
87,23,77,11
59,24,53,18
78,26,54,10
71,7,89,5
16,45,38,62
52,38,6,30
63,10,53,92
8,33,11,61
46,79,95,96
91,59,14,10
92,28,6,67
41,67,67,87
57,4,33,15
65,29,19,1
31,59,52,77
76,85,71,36
21,36,82,93
55,90,73,7
97,82,97,63
60,69,71,47
79,65,36,97
47,36,13,26
18,81,89,22
77,84,94,82
4,77,66,14
53,53,41,72
61,31,26,28
37,79,43,22
3,50,5,84
30,79,81,57
90,55,84,18
17,58,99,70
64,98,34,47
93,62,44,41
9,59,33,16
37,11,63,21
22,33,26,75
86,10,49,71
96,77,99,10
96,8,51,24
56,48,86,67
1,10,91,93
3,65,73,95
73,23,15,72
62,81,20,27
33,93,45,27
2,73,75,22
93,73,47,52
9,59,30,64
90,67,65,12
89,4,39,82
57,79,52,72
12,23,8,34
61,67,36,46
36,50,16,66
56,39,26,8
25,90,10,72
26,10,72,53
1,33,77,32
38,40,42,79
23,82,35,4
8,58,99,63
12,35,68,38
88,12,16,22
5,41,50,20
41,71,26,37
25,65,55,22
49,19,33,95
42,98,79,58
11,60,42,17
65,45,56,73
98,11,58,34
65,40,4,85
10,59,51,48
29,12,14,5
82,58,38,57
42,21,23,61
42,88,58,4
47,32,50,2
99,35,80,53
83,95,25,16
71,5,42,9
83,83,92,62
63,59,44,35
15,28,17,87
88,74,27,8
53,46,84,83
54,26,78,20
22,90,3,99
80,42,6,25
87,15,12,86
72,72,27,54
73,83,66,65
23,87,78,80
42,47,39,95
65,76,23,43
32,64,83,46
86,59,64,60
49,5,64,2
38,15,60,44
36,44,65,16
94,61,38,84
84,41,14,32
37,82,15,49
1,23,44,26
12,12,97,18
97,51,70,1
38,3,10,29
18,95,67,87
62,11,60,52
50,3,51,13
77,11,85,12
98,34,49,60
33,4,56,28
12,53,32,30
69,67,74,14
59,85,6,76
76,20,31,87
72,44,63,36
42,25,40,41
24,6,78,27
39,22,85,19
42,29,22,11
14,37,2,82
56,39,56,31
90,60,89,64
39,82,10,82
52,3,44,83
55,72,7,69
2,23,72,7
41,40,47,7
99,50,75,14
24,91,36,63
42,77,15,78
66,26,92,38
91,19,48,68
62,4,87,6
50,32,59,27
35,36,81,3
93,70,51,51
27,50,41,81
35,72,93,99
12,56,55,75
58,5,80,19
9,93,34,19
58,75,87,51
82,94,78,90
41,99,91,39
84,65,28,10
14,48,22,48
35,42,88,86
37,99,86,72
59,55,28,36
10,63,77,4
64,90,66,35
47,42,95,41
39,81,63,76
34,58,46,55
57,99,68,60
68,67,67,7
76,25,56,26
79,28,83,25
48,55,44,94
5,69,6,45
83,94,96,97
36,91,57,17
62,14,42,67
1,26,7,67
53,5,87,29
18,63,85,6
40,34,5,44
42,46,70,90
64,37,60,65
13,48,50,50
67,46,42,83
96,65,33,15
17,49,36,36
68,4,16,66
87,5,2,71
56,9,78,52
79,89,69,88
78,40,66,15
74,76,77,31
63,76,44,47
81,62,20,59
64,91,86,39
80,5,23,24
37,44,20,4
21,64,25,49
48,3,76,43
11,44,3,11
47,72,34,39
58,43,69,51
54,67,8,36
89,28,89,98
27,46,78,21
86,76,49,71
75,52,87,77
29,65,94,39
15,61,92,4
70,8,96,42
51,85,95,58
55,37,36,2
60,6,10,91
1,62,99,7
55,18,80,76
21,25,53,6
64,42,10,85
7,47,44,97
23,61,46,90
5,20,48,99
99,15,72,5
81,69,40,21
82,98,74,35
65,22,69,21
60,51,40,1
19,43,41,26
98,39,50,15
36,78,12,18
6,50,71,26
64,97,50,77
3,55,50,88
30,60,64,94
33,53,91,29
42,98,91,86
22,31,81,12
84,51,72,3
29,96,46,29
63,40,57,6
65,80,55,61
37,65,34,79
89,91,69,55
27,15,31,88
32,80,84,81
14,1,56,56
1,87,55,45
30,12,21,71
28,58,60,24
67,60,70,65
29,1,6,96
76,11,98,92
39,23,94,79
69,91,54,42
6,83,60,83
42,89,44,16
7,40,67,23
96,7,81,37
68,86,30,14
68,44,39,27
12,57,78,60
78,18,9,13
62,18,69,15
91,47,82,17
48,84,57,72
93,26,95,7
7,92,41,23
14,98,46,56
66,60,47,43
83,21,55,43
92,81,12,37
57,77,37,10
81,77,62,8
20,28,4,13
6,53,47,57
43,29,67,94
78,94,91,42
39,36,77,27
11,76,72,85
42,87,14,14
23,20,63,81
27,33,2,56
21,23,63,61
58,29,77,61
97,31,2,96
39,66,43,98
92,2,99,79
36,25,43,11
71,18,66,46
76,94,25,95
82,30,42,71
31,21,41,66
34,34,20,67
72,1,30,44
4,27,79,54
22,1,12,16
6,13,26,19
56,62,87,96
79,88,98,72
69,37,83,27
17,58,36,81
77,7,61,65
87,70,76,75
22,37,62,12
11,29,12,18
46,37,31,26
9,1,32,81
13,3,51,56
52,51,74,27
39,70,83,64
57,53,2,7
3,35,69,92
18,51,47,61
98,17,51,93
10,99,69,43
50,60,11,21
18,38,75,24
60,52,90,94
27,36,58,61
96,8,64,46
96,72,70,29
93,81,23,48
84,89,37,77
44,40,91,11
11,24,80,48
81,39,23,64
14,82,36,80
4,20,77,11
85,62,12,90
69,72,70,93
49,81,64,96
3,26,41,16
74,11,38,65
3,3,54,1
81,27,65,1
26,1,25,96
77,55,54,94
86,17,67,71
55,6,54,71
57,17,29,31
42,48,69,89
41,79,70,97
78,71,96,92
84,61,7,19
81,10,39,13
87,21,8,68
9,91,92,11
38,81,68,19
77,83,54,31
2,61,63,26
45,18,65,78
24,72,70,24
20,49,14,34
89,30,90,12
68,29,35,97
16,52,72,50
65,25,34,53
76,30,40,10
58,24,84,54
25,43,47,96
12,45,40,67
8,11,87,33
93,2,4,86
69,88,19,14
91,41,34,33
22,82,21,89
23,70,64,65
14,17,94,39
18,24,3,73
40,41,32,34
25,12,90,3
11,60,3,85
33,47,73,73
59,19,64,37
87,90,9,52
57,40,84,93
10,94,55,58
14,73,95,57
46,71,50,98
68,20,44,38
76,36,34,41
12,55,17,67
53,8,45,72
31,3,30,61
78,11,24,19
46,36,89,17
44,65,36,33
8,83,20,60
43,74,79,29
28,45,65,29
56,51,99,31
21,89,95,85
88,71,2,5
22,38,98,76
68,73,33,41
72,13,59,60
64,17,82,85
93,43,85,78
2,44,12,59
86,42,3,4
11,56,67,18
77,91,63,30
43,34,63,32
51,1,34,26
52,28,34,40
19,36,40,6
6,53,11,99
73,31,15,54
86,39,58,96
7,79,14,97
69,70,54,75
84,55,4,41
16,34,63,71
39,91,64,30
65,46,2,3
25,70,25,49
75,6,84,52
51,91,3,47
6,69,5,29
70,11,95,38
53,57,57,42
62,63,98,19
74,14,25,28
41,95,32,42
72,47,48,98
6,8,25,73
79,94,3,1
62,46,85,91
97,22,80,45
40,78,40,47
60,33,73,31
3,12,76,1
14,83,63,42
34,19,39,34
72,30,81,40
85,1,96,60
24,95,2,49
6,79,73,86
45,17,64,1
63,67,16,71
45,39,22,47
82,90,56,76
54,6,8,1
11,50,54,83
58,72,87,73
18,47,38,30
76,8,33,80
70,43,89,14
35,59,32,36
68,65,41,68
63,6,37,84
58,87,57,64
10,14,68,24
15,25,60,19
92,56,81,1
32,28,75,88
65,18,29,22
54,45,43,1
73,4,48,10
96,59,70,99
17,93,45,32
18,12,57,30
90,63,66,35
27,86,38,94
93,26,84,56
99,34,86,60
55,91,65,31
33,59,42,41
96,65,84,27
15,40,42,87
23,65,83,85
37,6,59,95
79,44,19,47
65,74,7,13
64,81,50,35
60,20,42,65
94,6,62,51
50,44,34,44
83,21,82,23
30,9,79,63
86,82,72,65
24,8,26,75
45,43,44,42
9,87,53,75
18,30,60,61
73,72,49,4
66,32,21,91
99,37,40,23
74,59,63,68
11,74,40,82
37,59,60,39
1,47,41,48
31,55,33,80
24,5,77,61
17,68,55,55
25,86,69,39
13,19,72,99
41,26,19,79
46,13,1,96
72,99,1,27
32,14,40,86
78,95,48,18
22,8,88,89
71,76,81,74
85,92,18,14
53,65,71,60
43,52,86,48
25,23,37,6
87,31,53,53
56,58,77,85
33,36,96,32
80,81,99,59
88,35,38,40
85,3,85,40
68,59,84,69
4,53,58,46
80,63,56,24
44,73,59,48
33,43,12,46
33,95,69,52
33,23,30,95
75,91,50,13
72,86,97,83
50,99,80,84
39,57,93,16
6,29,63,4
51,54,67,30
27,9,12,73
40,60,54,70
41,68,63,21
66,3,90,78
58,60,72,77
76,68,22,75
68,17,68,95
33,45,98,14
41,64,41,42
30,86,67,88
12,16,95,21
11,6,78,36
35,12,48,61
83,95,23,37
55,23,53,63
72,33,95,42
36,14,50,37
36,25,81,56
28,44,24,7
24,77,59,25
13,10,2,21
93,7,72,66
11,31,51,56
28,43,7,43
48,45,47,83
27,75,4,12
61,92,33,74
30,37,52,54
65,37,80,24
79,82,6,40
34,88,45,22
78,12,2,3
5,22,53,75
62,5,86,23
25,25,36,81
85,98,55,76
43,94,68,95
12,32,18,95
87,49,2,4
44,95,37,7
49,31,33,99
82,11,72,49
13,79,98,68
64,85,56,75
84,85,71,27
37,63,39,81
58,40,1,26
79,30,25,84
79,26,9,18
79,66,75,34
97,62,96,38
44,74,91,63
45,5,98,50
61,51,71,5
38,74,7,53
77,41,90,72
32,48,16,79
89,95,45,33
83,73,24,97
73,33,12,72
75,76,19,81
83,77,22,99
51,10,84,54
24,23,23,36
1,90,96,86
76,18,1,38
36,21,67,39
81,45,64,95
38,62,27,5
45,76,99,63
91,92,87,38
9,73,19,78
50,10,70,97
76,63,50,9
66,53,81,39
84,75,17,49
53,21,24,71
37,87,9,13
57,91,4,79
40,93,36,69
76,88,75,8
38,39,69,86
83,55,74,72
82,27,3,18
36,61,59,15
7,48,24,18
3,7,32,16
44,58,8,4
65,73,37,8
29,98,86,88
33,80,59,95
6,44,57,50
18,72,77,89
69,84,23,39
74,50,11,69
66,36,61,10
56,42,17,7
25,74,54,40
4,73,48,67
94,48,46,31
63,98,27,71
45,26,31,93
79,1,80,88
17,9,91,81
57,58,86,75
50,18,12,73
12,86,28,16
54,45,85,31
95,58,26,63
62,66,59,42
1,17,24,37
8,12,27,14
73,71,40,60
35,9,74,12
89,26,16,70
48,91,72,95
98,78,55,84
45,62,42,50
76,29,88,31
27,52,9,77
11,51,5,98
1,90,5,25
34,31,6,24
97,70,89,4
70,62,71,16
51,97,40,83
54,57,89,84
34,76,94,23
4,85,51,58
88,84,28,7
50,15,46,23
95,14,47,24
47,57,8,87
7,54,81,47
20,64,20,10
16,28,82,31
66,15,15,77
24,77,35,32
22,18,57,72
21,25,13,84
10,15,45,5
39,27,6,43
73,13,8,23
30,31,3,8
43,66,85,67
8,96,89,98
37,34,57,71
37,48,4,42
82,55,82,85
10,5,47,12
70,8,64,63
43,31,46,15
97,63,17,12
22,81,97,50
77,55,1,49
74,99,95,30
18,63,53,29
35,18,40,76
34,46,67,29
15,64,44,70
26,30,27,77
52,82,90,17
85,51,28,82
52,45,65,40
22,52,48,99
17,86,51,80
28,98,66,58
13,21,23,88
88,14,89,93
91,51,73,30
14,99,11,41
52,39,65,35
92,79,20,93
54,26,40,22
80,95,83,96
90,26,12,90
44,21,27,70
56,57,21,36
42,50,91,83
62,23,8,8
15,15,30,57
70,70,40,42
2,72,34,56
10,75,18,91
66,2,91,1
91,34,39,69
24,56,20,1
84,96,57,91
90,45,80,11
1,55,30,26
11,26,75,63
15,62,40,41
60,1,25,99
66,69,72,82
47,28,94,36
70,9,10,84
37,75,70,59
12,87,39,27
34,95,36,7
35,93,8,45
90,1,18,84
79,22,97,88
84,69,70,84
22,37,52,30
31,62,95,82
14,37,94,72
17,60,57,96
24,1,7,77
19,42,43,75
65,13,93,15
32,96,65,66
41,72,58,26
38,29,46,67
72,62,9,33
83,82,37,37
44,87,49,51
81,8,6,94
73,43,88,60
79,63,99,33
57,14,49,94
67,33,4,41
44,8,47,84
52,23,80,99
88,95,44,90
39,6,57,99
17,30,95,66
49,48,76,28
88,65,90,14
73,72,61,2
90,26,88,4
76,15,49,77
6,7,76,63
88,89,72,66
27,56,30,76
41,86,81,4
49,81,63,49
13,83,69,34
17,60,75,61
6,22,44,41
4,80,87,27
47,10,19,13
41,84,98,5
75,13,70,94
67,44,97,95
99,69,79,39
81,41,32,28
38,29,64,65
21,29,50,89
67,9,44,73
8,86,72,99
86,56,23,38
8,30,13,9
1,39,19,66
63,56,67,18
39,60,40,68
47,53,97,24
47,22,27,23
24,4,68,97
14,37,11,19
16,66,77,70
77,66,8,43
53,55,68,52
60,52,7,24
27,67,76,75
